"","CO2.emissions","Air.Pollution","Protected.Land","Education","Women.Parliament","Child.Mortality","Water","GINI","Youth.Unemployment","Hunger","Violence","Internet","Protected.Sea","Sanitation","Poverty","Alternative.Energy","oneoverco2","oneoverpl","oneoverps"
"5574",NA,0.1348080706,NA,0.3910013,0.818,5.46,0.03,NA,NA,0.47,3.3,0,0.965671769945,0.657,NA,NA,NA,NA,1.03447729735285
"5575",NA,NA,NA,0.2851551,0.818,5.28,0.03,NA,NA,0.46,NA,0,0.96567176996,0.656,NA,NA,NA,NA,1.0344772973368
"5576",NA,NA,NA,0.1964704,0.818,5.1,NA,NA,NA,0.45,NA,0,NA,NA,NA,NA,NA,NA,NA
"5577",17.21018371,NA,NA,NA,NA,9.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0581017562097709,NA,NA
"5578",16.73780357,NA,NA,NA,NA,9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0597414263103154,NA,NA
"5579",14.14990702,NA,NA,NA,NA,8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0706668483219247,NA,NA
"5580",13.55067797,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0737915999932811,NA,NA
"5581",12.36540955,NA,NA,NA,NA,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0808642149491159,NA,NA
"5582",13.0070924,NA,NA,NA,NA,6.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0768752226883013,NA,NA
"5583",14.72008927,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0679297558529105,NA,NA
"5584",13.12643018,NA,NA,NA,NA,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0761763716346805,NA,NA
"5585",13.40726513,NA,NA,NA,NA,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0745808641389835,NA,NA
"5586",13.0058986,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0768822784549116,NA,NA
"5587",13.4485435,1.97211852,0.92424192114,NA,NA,4.41,0.08,NA,NA,NA,NA,1,0.91902445922,0.085,NA,1,0.0743519659236018,1.08079841299007,1.08692762456316
"5588",15.99579967,1.861253329,0.92424231495,NA,NA,4.01,0.08,NA,0.2479999924,NA,NA,0.99978087732,0.99364372421,0.085,NA,1,0.0625125037900784,1.08079795297088,1.00538511997776
"5589",16.53967927,1.902311565,0.92424231495,NA,NA,3.68,0.0770000000000001,NA,0.2510000038,0.18,NA,0.99956175464,0.99364372421,0.0790000000000001,NA,1,0.0604570092725098,1.08079795297088,1.00538511997776
"5590",17.67183785,1.820033425,0.92319078827,NA,NA,3.39,0.073,NA,0.2670000076,0.22,NA,0.99934263196,0.99336160452,0.073,NA,1,0.0565840080969226,1.08202766430069,1.00567036725309
"5591",16.98180487,1.712460476,0.6954723673,NA,NA,3.15,0.07,NA,0.2579999924,0.27,NA,0.99912350928,0.99261676292,0.0670000000000001,NA,1,0.058883088374082,1.43580714318456,1.00642424455606
"5592",12.72415816,1.737505354,0.6877294531,NA,NA,2.94,0.0670000000000001,NA,0.2629999924,0.26,NA,0.9989043866,0.96611013429,0.0609999999999999,NA,1,0.0785844849570027,1.451948940907,1.03400839733124
"5593",13.72803741,1.661727932,0.6873789931,NA,NA,2.76,0.0629999999999999,NA,0.2839999962,0.22,NA,0.9973267349,0.96567152781,0.0559999999999999,NA,1,0.0728383185314665,1.45268814130522,1.03447755647206
"5594",11.34468416,1.572481064,0.6873789931,NA,NA,2.61,0.0600000000000001,NA,0.2939999962,0.16,NA,0.9947900969,0.96567152781,0.05,NA,1,0.0881392418383697,1.45268814130522,1.03447755647206
"5595",10.7701562,1.487973345,0.6873789931,NA,NA,2.48,0.0570000000000001,NA,0.3010000038,0.13,NA,0.9898570107,0.96567152781,0.044,NA,1,0.0928405438962996,1.45268814130522,1.03447755647206
"5596",11.54185856,1.473329893,0.6873789931,NA,NA,2.37,0.0529999999999999,NA,0.23,0.11,0.939786116,0.950641466,0.96567152781,0.0379999999999999,NA,1,0.0866336527301258,1.45268814130522,1.03447755647206
"5597",14.74020635,1.447372444,0.6873777042,NA,NA,2.28,0.05,NA,0.2370000076,0.09,NA,0.7789308191,0.91902445938,0.032,NA,1,0.0678370532408971,1.45269086127964,1.08692762437413
"5598",14.22648827,1.414280789,0.6873789931,NA,NA,2.19,0.0459999999999999,NA,0.2429999924,0.08,NA,0.5318946834,0.96567152781,0.027,NA,1,0.0702864750982501,1.45268814130522,1.03447755647206
"5599",14.95549868,1.372884691,0.6873789931,NA,NA,2.12,0.0429999999999999,NA,0.2689999962,0.09,NA,0.361529498,0.96567152781,0.0209999999999999,NA,1,0.0668605681981714,1.45268814130522,1.03447755647206
"5600",14.32118182,1.35485264,0.6873789931,NA,1,2.06,0.04,NA,0.2860000038,0.1,NA,0.1998417109,0.96567152781,0.015,NA,1,0.0698217640697428,1.45268814130522,1.03447755647206
"5601",16.60432398,1.309573973,0.6873789931,NA,1,2.01,0.0359999999999999,NA,0.2720000076,0.12,NA,0,0.96567152781,0.00900000000000001,NA,1,0.0602216494664261,1.45268814130522,1.03447755647206
"5602",16.10534901,1.331411183,0.6873789931,0.1099324,1,1.96,0.0329999999999999,NA,0.2729999924,0.13,NA,0,0.96567152781,0.003,NA,1,0.0620873172051051,1.45268814130522,1.03447755647206
"5603",17.05581328,1.279257725,0.6873789931,0.0922106500000001,1,1.92,0.03,NA,0.3490000153,0.14,NA,0,0.96567152781,0,NA,1,0.0586275984607601,1.45268814130522,1.03447755647206
"5604",15.18524524,1.272397419,0.6873789931,0.0744889000000001,1,1.87,0.03,NA,0.3020000076,0.13,NA,0,0.96567152781,0,NA,1,0.0658490617131638,1.45268814130522,1.03447755647206
"5605",15.86262634,1.170126258,0.6873789931,0.0458399,1,1.82,0.03,NA,0.2979999924,0.13,NA,0,0.96567152781,0,NA,1,0.0630372891145645,1.45268814130522,1.03447755647206
"5606",16.08525459,1.132501698,0.6873789931,0,1,1.76,0.03,NA,0.2989999962,0.14,NA,0,0.96567152781,0,NA,1,0.0621648746391002,1.45268814130522,1.03447755647206
"5607",17.03991344,1.1224212,0.6873777042,0,1,1.71,0.03,NA,0.2979999924,0.15,NA,0,0.8555742643,0,NA,1,0.0586823003074887,1.45269086127964,1.16744109842853
"5608",NA,1.082248052,0.68737464985,0,1,1.66,0.03,NA,0.23,0.15,NA,0,0.8555742643,0,NA,1,NA,1.45269730693584,1.16744109842853
"5609",NA,NA,0.6873715955,0,1,1.61,0.03,NA,0.2779999924,0.14,0.8,0,0.8555742643,0,NA,NA,NA,1.45270375264925,1.16744109842853
"5610",NA,NA,NA,0,0.801,1.55,NA,NA,NA,0.12,NA,0,NA,NA,NA,NA,NA,NA,NA
"5611",0.601848334,NA,NA,0.8918196,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.65879201052914,NA,NA
"5612",0.575960771,NA,NA,0.8860659,NA,19.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.73322009097218,NA,NA
"5613",0.518755616,NA,NA,0.8797555,NA,19.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.92398113501096,NA,NA
"5614",0.434280807,NA,NA,0.8768883,NA,18.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.29736754738189,NA,NA
"5615",0.529554848,NA,NA,0.8776178,NA,18.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.88481926754536,NA,NA
"5616",0.415805424,NA,NA,0.8744692,NA,17.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.39920102383313,NA,NA
"5617",0.401060318,NA,NA,0.8651149,NA,16.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.48718899933815,NA,NA
"5618",0.35832573,NA,NA,0.8634062,NA,15.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.78299024119425,NA,NA
"5619",0.388386891,NA,NA,0.8604015,NA,15.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.56813987094393,NA,NA
"5620",0.507375771,NA,NA,0.8515133,NA,14.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.9670488977729,NA,NA
"5621",0.423597206,1.290610847,0.7481958616,0.8483306,0.875,14.11,0.401,NA,NA,NA,NA,1,NA,0.649,NA,1,2.35517329334475,1.33476444712919,NA
"5622",0.441955114,1.326222323,0.7592625741,0.8467341,0.876142857142857,13.95,0.394,54.14,0.1410000038,NA,NA,0.99998614304,0.94180341922,0.641,65.81,1,2.25756508592877,1.31533503564055,1.06066649697486
"5623",0.435489543,1.332249265,0.7592625741,0.8451376,0.877285714285714,13.93,0.388,49.9066666666667,0.1410000038,1.39,NA,0.99997228608,0.94180341922,0.633,61.7533333333333,1,2.29100562897105,1.31533503564055,1.06066649697486
"5624",0.436410525,1.39291064,0.7592625741,0.84703305,0.878428571428571,14.03,0.381,45.6733333333333,0.1410000038,1.4,NA,0.99995842912,0.94180341922,0.626,57.6966666666667,1,2.28618184256083,1.31533503564055,1.06066649697486
"5625",0.460334559,1.384254189,0.7592625741,0.8489285,0.879571428571429,14.18,0.375,41.44,0.1419999981,1.52,NA,0.99994457216,0.94180341922,0.618,53.64,1,2.16762429887677,1.31533503564055,1.06066649697486
"5626",0.401152473,1.348368427,0.7592625741,0.85082395,0.880714285714286,14.32,0.368,41.4128571428571,0.14,1.44,NA,0.9999307152,0.94180341922,0.61,52.29,1,2.48661904908888,1.31533503564055,1.06066649697486
"5627",0.418368605,1.333997863,0.7592625741,0.8527194,0.881857142857143,14.45,0.362,41.3857142857143,0.1410000038,1.61,NA,0.9988761781,0.94180341922,0.603,50.94,1,2.38453710668208,1.31533503564055,1.06066649697486
"5628",0.356134024,1.338986118,0.7592625741,0.8545568,0.883,14.5,0.355,41.3585714285714,0.1410000038,1.67,NA,0.9972652559,0.94180341922,0.595,49.59,1,2.80006925355283,1.31533503564055,1.06066649697486
"5629",0.365224143,1.378027855,0.7592625741,0.8551848,0.879,14.42,0.349,41.3314285714286,0.14,1.77,NA,0.9920128621,0.94180341922,0.588,48.24,1,2.73056820287241,1.31533503564055,1.06066649697486
"5630",0.384673118,1.399784394,0.7592625741,0.8470746,0.879,14.16,0.343,41.3042857142857,0.14,1.72,NA,0.9688909048,0.94180341922,0.58,46.89,1,2.59286933241741,1.31533503564055,1.06066649697486
"5631",0.399359784,1.458757655,0.7481289898,0.8414779,0.879,13.7,0.336,41.2771428571429,0.1410000038,1.67,NA,0.9596032514,0.94180341922,0.573,45.54,0.99992826848,2.49775337075314,1.33488359630426,1.06066649697486
"5632",0.42797475,1.504483708,0.7592625741,0.8391688,0.833,13.07,0.33,41.25,0.14,1.6,NA,0.9016205941,0.94180341922,0.565,44.19,0.99993363516,2.33113953676761,1.31533503564055,1.06066649697486
"5633",0.437637932,1.535431419,0.7592625741,0.8259921,0.808,12.3,0.324,40.735,0.1419999981,1.62,NA,0.8993545463,0.94180341922,0.558,41.5175,0.99359491484,2.27978459464377,1.31533503564055,1.06066649697486
"5634",0.46964656,1.040421178,0.7592625741,0.810111,0.808,11.46,0.317,40.22,0.14,1.56,NA,0.789856357,0.94180341922,0.55,38.845,0.98859560113,2.12473666013834,1.31533503564055,1.06066649697486
"5635",0.481463165,0.95620038,0.759109843,0.7942299,0.808,10.63,0.311,39.705,0.14,1.47,NA,0.561397602,0.8756598627,0.543,36.1725,0.9906943657,2.07269709388073,1.31559932976687,1.14069326377066
"5636",0.519914512,1.385359642,0.759109843,0.7738126,0.808,9.81,0.305,39.19,0.14,1.3,NA,0.5213315917,0.8756598627,0.535,33.5,0.99164927679,1.91970078959904,1.31559932976687,1.14069326377066
"5637",0.41346223,1.444196736,0.759109843,0.7567956,0.808,9.06,0.298,39.3766666666667,0.1410000038,1.18,NA,0.4388261348,0.8756598627,0.527,33.5933333333333,0.9926852428,2.41276509080212,1.31559932976687,1.14069326377066
"5638",0.448172755,1.510971277,0.759109843,0.72627505,0.78,8.37,0.292,39.5633333333333,0.14,1.07,NA,0.23,0.8756598627,0.52,33.6866666666667,0.99475373769,2.2263149063883,1.31559932976687,1.14069326377066
"5639",0.44463771,1.560091599,0.759109843,0.6957545,0.78,7.73,0.285,39.75,0.1410000038,0.99,NA,0,0.8756598627,0.512,33.78,0.99345696354,2.24397526861001,1.31559932976687,1.14069326377066
"5640",0.464681448,1.316458011,0.759109843,0.6658188,0.773,7.14,0.279,39.9366666666667,0.1410000038,0.94,NA,0,0.8756598627,0.504,33.8733333333333,0.99363477325,2.14739067724253,1.31559932976687,1.14069326377066
"5641",0.545070856,1.480471636,0.7524420052,0.6358831,0.773,6.63,0.272,40.1233333333333,0.1410000038,1.01,NA,0,NA,0.497,33.9666666666667,0.99357312107,1.83126418304953,1.32724216741082,NA
"5642",NA,1.47350334,0.7524420052,0.5899555,0.773,6.19,0.266,40.31,0.1410000038,1.25,NA,0,NA,0.489,34.06,0.99363810129,NA,1.32724216741082,NA
"5643",NA,NA,0.7524420052,NA,0.573,5.84,0.259,NA,0.1410000038,1.4,2.8,0,NA,0.481,NA,NA,NA,1.32724216741082,NA
"5644",NA,NA,NA,NA,0.573,5.53,NA,NA,NA,1.42,NA,0,NA,NA,NA,NA,NA,NA,NA
"5645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5649",NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5650",NA,NA,NA,NA,NA,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5651",NA,NA,NA,NA,NA,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5652",NA,NA,NA,NA,NA,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5653",NA,NA,NA,NA,NA,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5654",NA,NA,NA,NA,NA,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5655",NA,0.5620331425,0.94532836284,NA,NA,2.78,0.005,NA,NA,NA,NA,NA,0.99495581741,0.0409999999999999,NA,0.95868480998,NA,1.05671565945559,1.00406060441568
